position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,laps,time,timePenalty,gap,interval,reasonRetired,points,gridPosition,year,race,grandSlam
1,27,ayrton-senna,mclaren,honda,goodyear,78.0,1:52:46.982,,,,,9.0,1.0,1990,monaco,True
DNF,27,ayrton-senna,mclaren,honda,goodyear,53.0,,,,,Radiator,,1.0,1990,spain,
2,27,ayrton-senna,mclaren,honda,goodyear,77.0,1:49:30.885,,+0.288,+0.288,,6.0,4.0,1990,hungary,
3,27,ayrton-senna,mclaren,honda,goodyear,64.0,1:19:14.087,,+43.088,+3.996,,4.0,2.0,1990,great-britain,
20,27,ayrton-senna,mclaren,honda,goodyear,63.0,,,,,Tyre,,3.0,1990,mexico,
DNF,27,ayrton-senna,mclaren,honda,goodyear,0.0,,,,,Collision,,1.0,1990,japan,
2,27,ayrton-senna,mclaren,honda,goodyear,61.0,1:22:13.822,,+2.808,+2.808,,6.0,3.0,1990,portugal,
1,27,ayrton-senna,mclaren,honda,goodyear,72.0,1:52:32.829,,,,,9.0,5.0,1990,united-states,
1,27,ayrton-senna,mclaren,honda,goodyear,45.0,1:20:47.164,,,,,9.0,1.0,1990,germany,
DNF,27,ayrton-senna,mclaren,honda,goodyear,3.0,,,,,Wheel,,1.0,1990,san-marino,
3,27,ayrton-senna,mclaren,honda,goodyear,71.0,1:37:58.980,,+37.722,+24.158,,4.0,1.0,1990,brazil,
1,27,ayrton-senna,mclaren,honda,goodyear,70.0,1:42:56.400,,,,,9.0,1.0,1990,canada,
DNF,27,ayrton-senna,mclaren,honda,goodyear,61.0,,,,,Gearbox,,1.0,1990,australia,
3,27,ayrton-senna,mclaren,honda,goodyear,80.0,1:33:41.212,,+11.606,+2.980,,4.0,3.0,1990,france,
1,27,ayrton-senna,mclaren,honda,goodyear,44.0,1:26:31.997,,,,,9.0,1.0,1990,belgium,
1,27,ayrton-senna,mclaren,honda,goodyear,53.0,1:17:57.878,,,,,9.0,1.0,1990,italy,True
1,1,ayrton-senna,mclaren,honda,goodyear,78.0,1:53:02.334,,,,,10.0,1.0,1991,monaco,
5,1,ayrton-senna,mclaren,honda,goodyear,65.0,1:39:43.943,,+1:02.402,+39.630,,2.0,3.0,1991,spain,
1,1,ayrton-senna,mclaren,honda,goodyear,77.0,1:49:12.796,,,,,10.0,1.0,1991,hungary,
4,1,ayrton-senna,mclaren,honda,goodyear,58.0,,,,,Out of fuel,3.0,2.0,1991,great-britain,
3,1,ayrton-senna,mclaren,honda,goodyear,67.0,1:30:49.561,,+57.356,+56.020,,4.0,3.0,1991,mexico,
2,1,ayrton-senna,mclaren,honda,goodyear,53.0,1:32:11.039,,+0.344,+0.344,,6.0,2.0,1991,japan,
2,1,ayrton-senna,mclaren,honda,goodyear,71.0,1:36:03.245,,+20.941,+20.941,,6.0,3.0,1991,portugal,
1,1,ayrton-senna,mclaren,honda,goodyear,81.0,2:00:47.828,,,,,10.0,1.0,1991,united-states,
7,1,ayrton-senna,mclaren,honda,goodyear,44.0,,,,,Out of fuel,,2.0,1991,germany,
1,1,ayrton-senna,mclaren,honda,goodyear,61.0,1:35:14.750,,,,,10.0,1.0,1991,san-marino,
1,1,ayrton-senna,mclaren,honda,goodyear,71.0,1:38:28.128,,,,,10.0,1.0,1991,brazil,
DNF,1,ayrton-senna,mclaren,honda,goodyear,25.0,,,,,Alternator,,3.0,1991,canada,
1,1,ayrton-senna,mclaren,honda,goodyear,14.0,24:34.899,,,,,5.0,1.0,1991,australia,
3,1,ayrton-senna,mclaren,honda,goodyear,72.0,1:38:34.990,,+34.934,+29.931,,4.0,3.0,1991,france,
1,1,ayrton-senna,mclaren,honda,goodyear,44.0,1:27:17.669,,,,,10.0,1.0,1991,belgium,
2,1,ayrton-senna,mclaren,honda,goodyear,53.0,1:18:10.581,,+16.262,+16.262,,6.0,1.0,1991,italy,
